order,prefactor,error,relative error
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,-6.104120468077237,4.848688915726784e-05,7.943304757964734e-06
4,-18.659107817191867,0.0002730407681427817,1.4633109515086848e-05
5,-61.26170488838484,0.001299468358520701,2.1211756363755377e-05
6,-224.94690982443453,0.009213476520920043,4.095844894295695e-05
7,-862.4444613916119,0.04660835245065097,5.404214942194106e-05
8,-3452.137883009533,0.14434616751043602,4.1813557975441216e-05
9,-14206.8535851294,1.1327871489418364,7.973525891246937e-05
10,-59819.08712178637,6.603559461419905,0.00011039218047536636
11,-256334.85277122975,38.962883407413685,0.0001519999445498219
