order,prefactor,error,relative error
1,0.0,0.0,0.0
2,1.2332264915946674,1.0115888266318388e-05,8.20278216148088e-06
3,4.1787780681990245,7.119764315411005e-05,1.703790964538945e-05
4,17.79796485667815,0.00034604757459200173,1.9443097982191927e-05
5,92.49273429805011,0.0030061645645890816,3.250162931611436e-05
6,541.4856022479013,0.02970251145231114,5.485374187052314e-05
7,3428.4513491589687,0.21176298859391238,6.17663682600775e-05
8,22978.048807708896,1.6139924536881638,7.024062256960156e-05
9,160764.13687142252,16.058265062316885,9.988711024001651e-05
10,1163314.9239976166,132.06466294481297,0.00011352442938751771
