order,prefactor,error,relative error
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,-0.09626118077868541,4.662132078881304e-08,4.843210982005338e-07
4,-0.17262628305251357,9.291551570558128e-07,5.382466334939044e-06
5,-0.09838265566737692,1.7341343328880125e-06,1.762642328695586e-05
6,-0.20335182441542438,9.272434098450695e-06,4.559798824085383e-05
7,-0.18945114245557876,1.2182735994070381e-05,6.430542374230817e-05
8,-0.3864519248761945,6.414156832029612e-05,0.00016597554363545944
9,-0.47364279587409885,0.00012762408560881107,0.0002694521836298243
10,-0.9517311537719805,0.0006927947068828602,0.0007279311012748908
11,-1.381853456883878,0.002487379696087412,0.0018000314604245588
12,-2.7427570725290984,0.015608991689190117,0.005690985849795678
13,-4.52636034345872,0.0537995066408617,0.011885820517716887
