order,Nsites,prefactor,error,relative error,Nseeds
2,2,-0.6010284515797971,0.0,0.0,0
3,2,0,0.0,0.0,20
3,3,-0.9970763349918613,3.1139980623828895e-06,3.1231290454890874e-06,20
4,2,0.12716777643768654,2.1936089503887883e-07,1.724972325409557e-06,20
4,3,-0.4681340222810203,1.6680040826722646e-06,3.563090916880559e-06,20
4,4,-2.894420419640959,1.2224263194394766e-05,4.223388942201816e-06,20
5,2,0,0.0,0.0,20
5,3,0.6452880677637267,2.4355140896754537e-06,3.77430516903223e-06,20
5,4,-3.070399065445049,2.4468597092746177e-05,7.969191160888886e-06,20
5,5,-10.956879735892556,7.704977077404213e-05,7.032090579733427e-06,20
6,2,-0.0626258048672506,1.1217567560456596e-07,1.7912053320887038e-06,20
6,3,0.8988227294447343,3.891591549583386e-06,4.329654137682405e-06,20
6,4,1.2936377199154303,8.888056211813597e-06,6.870591414414416e-06,20
6,5,-18.694206849610374,0.0001408577486428175,7.534834174885215e-06,20
6,6,-48.73178941037524,0.0005085598314278949,1.0435894876448348e-05,20
7,2,0,0.0,0.0,20
7,3,-0.011255817065074142,2.8936668659248197e-07,2.570819025571787e-05,20
7,4,7.828392073823433,4.1591449096392936e-05,5.312898064401548e-06,20
7,5,-5.184255245773709,0.0001316386166544473,2.5392001437768958e-05,20
7,6,-115.57142805945114,0.001017293312898874,8.802290756289416e-06,20
7,7,-241.80562517542202,0.0031707415768524342,1.3112770120844648e-05,20
8,2,0.03907217459553391,7.115849239034942e-08,1.8212063476621312e-06,20
8,3,-1.0043809152218355,3.830685826869342e-06,3.813977116464092e-06,20
8,4,9.889673051010108,6.266539905154284e-05,6.336448002711509e-06,20
8,5,43.195483192305986,0.0004910922175677,1.1369064107498484e-05,20
8,6,-100.90834236171318,0.0017752852679015344,1.759304757517369e-05,20
8,7,-735.4950279277853,0.00945288541494219,1.2852412397096888e-05,20
8,8,-1299.1451745544932,0.028559993600945025,2.1983681393219896e-05,20
9,2,0,0.0,0.0,20
9,3,-1.0508856279401408,5.849791287208532e-06,5.566534674829276e-06,20
9,4,0.8822839392992481,2.7242849421665856e-05,3.087764404201149e-05,20
9,5,117.02267769821067,0.0017171958470900423,1.4674043363787249e-05,20
9,6,175.04516196163542,0.004645713575424471,2.654008556056334e-05,20
9,7,-1034.1497071726299,0.01651463832597796,1.596929169097679e-05,20
9,8,-4818.624073452748,0.09249087999784703,1.9194458540023313e-05,20
9,9,-7414.997849452009,0.24165993039007436,3.259069460255255e-05,20
10,2,-0.027344502037488495,5.0982940298465567e-08,1.8644676808730866e-06,20
10,3,0.0631671245886085,7.040225076765291e-07,1.1145394257877806e-05,20
10,4,-20.624821174623314,0.00031983816815685657,1.550743957724026e-05,20
10,5,156.32240773103126,0.003302756738804318,2.1127852281338002e-05,20
10,6,930.6885935294597,0.02167676567962041,2.3291104919869485e-05,20
10,7,242.60224388919315,0.049359689775798875,0.00020345932908330213,20
10,8,-9130.483672937986,0.23754473848038057,2.6016665380438054e-05,20
10,9,-32409.378263417333,1.0544835647210684,3.253637129816019e-05,20
10,10,-44386.13387924632,1.7517191850770994,3.946545986281885e-05,20
11,2,0,0.0,0.0,20
11,3,1.7035780026578184,8.268609737593714e-06,4.853672520244764e-06,20
11,4,-44.334944842883004,0.0006201041598883917,1.3986803459121383e-05,20
11,5,17.67877287189912,0.003090645881611039,0.00017482242144327238,20
11,6,2194.895635594156,0.14756290363883373,6.723003191852837e-05,20
11,7,6112.422852711024,0.4573370055904103,7.48209043468858e-05,20
11,8,-5500.361327581866,0.5181073335811678,9.419514514130006e-05,20
11,9,-76176.25577212949,3.0553369460312783,4.010878343995913e-05,20
11,10,-223068.2275960193,7.703019761334204,3.453212429375875e-05,20
11,11,-276070.3737625999,13.598475352557603,4.925727874100423e-05,20
12,2,0.02050793939325084,3.7495205630670684e-08,1.828326333118107e-06,20
12,3,2.2662549887853354,1.0318937972686948e-05,4.553299617099874e-06,20
12,4,-41.54912487941366,0.0015634586445579302,3.7629159437063786e-05,20
12,5,-515.4951830710838,0.027634635986324166,5.360794221526898e-05,20
12,6,3053.6345601020284,0.4544108011364379,0.00014880981734803758,20
12,7,21413.02726418047,3.3956458159035146,0.00015857850335733342,20
12,8,33691.00390350017,5.867302652972155,0.00017415042513359476,20
12,9,-91910.78517925636,12.331713239426048,0.00013417046993315462,20
12,10,-620224.8225068192,42.106567886350085,6.788920139662282e-05,20
12,11,-1566348.8343459542,68.46549616006597,4.3710248099781984e-05,20
12,12,-1772414.2391017228,124.30108756158043,7.013094615205611e-05,20
13,2,0,0.0,0.0,20
13,3,0.04858574835409545,1.752973517159041e-07,3.6079994165846315e-06,20
13,4,26.85307459893424,0.0010312202949631262,3.840231743906353e-05,20
13,5,-1557.702991774614,0.16437994609241116,0.00010552714282530922,20
13,6,19.51448502508368,0.3546515678711517,0.01817376002570844,20
13,7,48546.92313865531,9.425851682742362,0.0001941596104004594,20
13,8,175993.58610375386,40.46546470482135,0.00022992579218748157,20
13,9,133923.97068092116,49.68857141171036,0.000371020745271175,20
13,10,-1050786.01967953,141.54160624792974,0.00013470069414427236,20
13,11,-4996316.812210209,547.3565790190147,0.00010955201593328945,20
13,12,-11192446.502610508,758.3368664516256,6.775434363476764e-05,20
13,13,-11686643.289654208,1019.8715939951511,8.726813754108583e-05,20
