order,prefactor,error,relative error
1,0.0,0.0,0.0
2,-111.0123267347483,0.0008615337892935772,7.76070383023425e-06
3,-1625.6889611263207,0.020184284697536914,1.2415834258696512e-05
4,-30356.99686239198,0.8159981128972065,2.6880067109276957e-05
5,-635840.230878792,169.4921183620654,0.00026656400480952756
6,-14268091.31528218,1057.7656205926846,7.413504702340525e-05
7,-335543258.99876326,48302.30288049886,0.00014395253543352183
8,-8159181248.547587,2547220.1102038394,0.0003121906515628966
9,-203378328705.31818,61199374.652394205,0.000300913942217846
10,-5168785100634.79,2278081922.986636,0.00044073837055188457
11,-133572082479605.69,123509368075.59854,0.000924664539047345
