file,sha256,source,table,evidence,note
MC_patched/TFIM/chain/1qp_gap_series_1d_chain_tfim_k0_sigma0.5_order11.csv,19b72d80a9bc20884909d9c8e351df18c0b0d599109e27507495b7e0716d4485,langheld2022,"Langheld et al. (2022), Zenodo 10.5281/zenodo.6645107",byte-identical to raw_data_pcut/results/1qp_gap/mc_embedding/lrtfim_sigma0.5/1qp_gap_series_k0_sigma0.5_o11.csv in the record,renamed on import; content unchanged
MC_patched/TFIM/chain/1qp_gap_series_1d_chain_tfim_k0_sigma1.0_order11.csv,afaba97c9711f4f2f337f1c0b26b475ea42aaf3425e7cbfd2b7cadba01edee9b,langheld2022,"Langheld et al. (2022), Zenodo 10.5281/zenodo.6645107",byte-identical to raw_data_pcut/results/1qp_gap/mc_embedding/lrtfim_sigma1/1qp_gap_series_k0_sigma1.0_o11.csv in the record,renamed on import; content unchanged
MC_patched/TFIM/chain/1qp_gap_series_1d_chain_tfim_k0_sigma2.0_order11.csv,9bd397ad2f913937ad7382c117e340324909b70a5eda9e1132674ea841a416c8,langheld2022,"Langheld et al. (2022), Zenodo 10.5281/zenodo.6645107",byte-identical to raw_data_pcut/results/1qp_gap/mc_embedding/lrtfim_sigma2/1qp_gap_series_k0_sigma2.0_o11.csv in the record,renamed on import; content unchanged
MC_patched/TFIM/chain/1qp_gap_series_1d_chain_tfim_k0_sigma3.0_order11.csv,7314f22503910d7042ac0c5bd25d487c398a4dfe45d6da8a08fae2699b98fca0,langheld2022,"Langheld et al. (2022), Zenodo 10.5281/zenodo.6645107",byte-identical to raw_data_pcut/results/1qp_gap/mc_embedding/lrtfim_sigma3/1qp_gap_series_k0_sigma3.0_o11.csv in the record,renamed on import; content unchanged
MC_patched/TFIM/chain/1qp_gap_series_1d_chain_tfim_kPi_sigma0.25_order10.csv,876713d43395667834e3a7652140a75b692a5e15c195b4b8fbbced1653d5cfce,adelhardt-pc,"P. Adelhardt, private communication (unpublished coefficients)",byte-identical in all three data sets received from P. Adelhardt,sigma=1 orders 3/4/9 inside Fey (2020) F.3 error bars
MC_patched/TFIM/chain/1qp_gap_series_1d_chain_tfim_kPi_sigma0.333333_order10.csv,137f9e4a3444ccf3f99b7efe0bde283669d21ee7f39f368149d6adf0b2a56ddc,adelhardt-pc,"P. Adelhardt, private communication (unpublished coefficients)",byte-identical in all three data sets received from P. Adelhardt,sigma=1 orders 3/4/9 inside Fey (2020) F.3 error bars
MC_patched/TFIM/chain/1qp_gap_series_1d_chain_tfim_kPi_sigma0.5_order10.csv,5abfb366fb318c6b9ff6972bd63398ddef181df91f9b568eeb62c483e92024f4,adelhardt-pc,"P. Adelhardt, private communication (unpublished coefficients)",byte-identical in all three data sets received from P. Adelhardt,sigma=1 orders 3/4/9 inside Fey (2020) F.3 error bars
MC_patched/TFIM/chain/1qp_gap_series_1d_chain_tfim_kPi_sigma0.75_order10.csv,8dfc59da82f883d54c0df9ce06468cc3a0d37f753b5b7b4cc00463e4558e9036,adelhardt-pc,"P. Adelhardt, private communication (unpublished coefficients)",byte-identical in all three data sets received from P. Adelhardt,sigma=1 orders 3/4/9 inside Fey (2020) F.3 error bars
MC_patched/TFIM/chain/1qp_gap_series_1d_chain_tfim_kPi_sigma1.25_order10.csv,adabdc06a2d296bbf949f83774ab4066ace605128d2170b7b437d3535a78ebaf,adelhardt-pc,"P. Adelhardt, private communication (unpublished coefficients)",byte-identical in all three data sets received from P. Adelhardt,sigma=1 orders 3/4/9 inside Fey (2020) F.3 error bars
MC_patched/TFIM/chain/1qp_gap_series_1d_chain_tfim_kPi_sigma1.5_order10.csv,38f0120aa036560933457bd4cba7c98c09c62f0baa2a6924b29c2cfa1e83ed6f,adelhardt-pc,"P. Adelhardt, private communication (unpublished coefficients)",byte-identical in all three data sets received from P. Adelhardt,sigma=1 orders 3/4/9 inside Fey (2020) F.3 error bars
MC_patched/TFIM/chain/1qp_gap_series_1d_chain_tfim_kPi_sigma1_order10.csv,ce912d143f6a1becc8798a19c16127be4b15f4d3b8d8f34512c0fd5d6b568f4b,adelhardt-pc,"P. Adelhardt, private communication (unpublished coefficients)",byte-identical in all three data sets received from P. Adelhardt,sigma=1 orders 3/4/9 inside Fey (2020) F.3 error bars
MC_patched/TFIM/chain/1qp_gap_series_1d_chain_tfim_kPi_sigma2_order10.csv,6790213efbc4af1b0dfeba2c4fc35a65bf8ed37533c6cdea0891f4b43b11f375,adelhardt-pc,"P. Adelhardt, private communication (unpublished coefficients)",byte-identical in all three data sets received from P. Adelhardt,sigma=1 orders 3/4/9 inside Fey (2020) F.3 error bars
MC_patched/TFIM/chain/1qp_gap_series_1d_chain_tfim_kPi_sigma3_order10.csv,8e42b7eb98eda19c952ee4128d139bc21d1c497498602603bc49af576a7c0242,adelhardt-pc,"P. Adelhardt, private communication (unpublished coefficients)",byte-identical in all three data sets received from P. Adelhardt,sigma=1 orders 3/4/9 inside Fey (2020) F.3 error bars
MC_patched/TFIM/chain/1qp_gap_series_1d_chain_tfim_kPi_sigma4_order10.csv,9c1cb835d525591e61f3fc67076347361f50f2b5423fff5fcea17e54e73e884a,adelhardt-pc,"P. Adelhardt, private communication (unpublished coefficients)",byte-identical in all three data sets received from P. Adelhardt,sigma=1 orders 3/4/9 inside Fey (2020) F.3 error bars
MC_patched/TFIM/chain/1qp_gap_series_coeffs_1d_chain_tfim_k0_sigma0.5_order11.csv,137ed7fc4f2570d2033cc944b8b4fea1c682e9f66853158a230a78d03381592d,langheld2022,"Langheld et al. (2022), Zenodo 10.5281/zenodo.6645107",per-cluster reduction of raw_data_pcut/results/1qp_gap/mc_embedding/lrtfim_sigma0.5/ in the record: every row is the mean over seeds of '# Target integral' (<= 4.4e-16 relative) with error sd/sqrt(n_seeds) exactly,
MC_patched/TFIM/chain/1qp_gap_series_coeffs_1d_chain_tfim_k0_sigma1.0_order11.csv,97517d52c288d678013f172dde00cc3f9fea5afda768d92792492913caa945d6,langheld2022,"Langheld et al. (2022), Zenodo 10.5281/zenodo.6645107",per-cluster reduction of raw_data_pcut/results/1qp_gap/mc_embedding/lrtfim_sigma1/ in the record: every row is the mean over seeds of '# Target integral' (<= 4.4e-16 relative) with error sd/sqrt(n_seeds) exactly,
MC_patched/TFIM/chain/1qp_gap_series_coeffs_1d_chain_tfim_k0_sigma2.0_order11.csv,a534e105ecbcdd01ec602eca7d39d6142ae65e4aaa8997f16258b03683a6f25b,langheld2022,"Langheld et al. (2022), Zenodo 10.5281/zenodo.6645107",per-cluster reduction of raw_data_pcut/results/1qp_gap/mc_embedding/lrtfim_sigma2/ in the record: every row is the mean over seeds of '# Target integral' (<= 4.4e-16 relative) with error sd/sqrt(n_seeds) exactly,
MC_patched/TFIM/chain/1qp_gap_series_coeffs_1d_chain_tfim_k0_sigma3.0_order11.csv,c11af813a5f7f0dc808caab992924eaa66c8496438d1794ca595a472df314599,langheld2022,"Langheld et al. (2022), Zenodo 10.5281/zenodo.6645107",per-cluster reduction of raw_data_pcut/results/1qp_gap/mc_embedding/lrtfim_sigma3/ in the record: every row is the mean over seeds of '# Target integral' (<= 4.4e-16 relative) with error sd/sqrt(n_seeds) exactly,
MC_patched/TFIM/chain/TFIM_lr_1d__MC__list_of_prefactors__k0__alpha_1.25.dat,bbb5c34cee424706f4133e97f76b8ce231cd0bc430b74f769e2d169c1c490c79,fey2020thesis,Fey (2020) Table F.2,cell-verified (7/7 measured orders reproduce the print),
MC_patched/TFIM/chain/TFIM_lr_1d__MC__list_of_prefactors__k0__alpha_1.66667.dat,a8cfa02923f8d8804dd76ad12e88e05dc2d60e2351671d17bb6b73c1758d6cd0,fey2020thesis,Fey (2020) Table F.2,cell-verified (7/9 measured orders reproduce the print),
MC_patched/TFIM/chain/TFIM_lr_1d__MC__list_of_prefactors__k0__alpha_10.dat,603f98fa47a8fe8d44eddd102f4bf6d75091d7b56d7e819ec582ea48c32aa5e5,fey2020thesis,Fey (2020) Table F.2,cell-verified (5/7 measured orders reproduce the print),
MC_patched/TFIM/chain/TFIM_lr_1d__MC__list_of_prefactors__k0__alpha_2.25.dat,10a73b1ec5de376fa7138c854c75d8d67f1cc95248a306224a077e7404a1de8b,fey2020thesis,Fey (2020) Table F.2,cell-verified (7/7 measured orders reproduce the print),
MC_patched/TFIM/chain/TFIM_lr_1d__MC__list_of_prefactors__k0__alpha_2.5.dat,d0d123541ab087ed715ee05eb806dcbc83b44b0126185c43a198671e5cb6f631,fey2020thesis,Fey (2020) Table F.2,cell-verified (7/7 measured orders reproduce the print),
